RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_001001489	GO:0005575 [Name: cellular_component]	ILMN_2424948 [Chip: ]; ILMN_2424950 [Chip: ]; ILMN_2599348 [Chip: ]	-	
NM_001001602	GO:0030139 [Name: endocytic vesicle]; GO:0043025 [Name: neuronal cell body]; GO:0044301 [Name: climbing fiber]; GO:0030424 [Name: axon]; GO:0042995 [Name: cell projection]; GO:0044300 [Name: cerebellar mossy fiber]; GO:1990597 [Name: AIP1-IRE1 complex]; GO:0005886 [Name: plasma membrane]; GO:1990032 [Name: parallel fiber]; GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0032809 [Name: neuronal cell body membrane]; GO:0070062 [Name: extracellular exosome]	ILMN_1224532 [Chip: ]; ILMN_2950503 [Chip: ]; ILMN_1224148 [Chip: ]; ILMN_2610965 [Chip: ]	Q3UHC7	
NM_001001735	GO:0005634 [Name: nucleus]; GO:0005694 [Name: chromosome]	ILMN_2511971 [Chip: ]; ILMN_2583684 [Chip: ]; ILMN_2593859 [Chip: ]; ILMN_2593865 [Chip: ]; ILMN_1249942 [Chip: ]; ILMN_1230713 [Chip: ]; ILMN_2884610 [Chip: ]	Q6P2L6; D3Z197; D3Z357	
NM_001001792	GO:0005634 [Name: nucleus]	ILMN_3127381 [Chip: ]; ILMN_2467917 [Chip: ]; ILMN_2436530 [Chip: ]	P24399	
NM_001001881	GO:0005575 [Name: cellular_component]	ILMN_1224572 [Chip: ]; ILMN_3052390 [Chip: ]; ILMN_3128859 [Chip: ]; ILMN_2682430 [Chip: ]	Q6GQU0	
NM_001001883	GO:0005737 [Name: cytoplasm]	ILMN_2418645 [Chip: ]; ILMN_2638511 [Chip: ]; ILMN_3098718 [Chip: ]; ILMN_1227092 [Chip: ]; ILMN_1259269 [Chip: ]; ILMN_2526208 [Chip: ]; ILMN_1215099 [Chip: ]; ILMN_2573844 [Chip: ]	Q6I6G8	
NM_001001892	GO:0016020 [Name: membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0070971 [Name: endoplasmic reticulum exit site]; GO:0016021 [Name: integral component of membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0009986 [Name: cell surface]; GO:0005794 [Name: Golgi apparatus]; GO:0042612 [Name: MHC class I protein complex]; GO:0005797 [Name: Golgi medial cisterna]; GO:0070062 [Name: extracellular exosome]	ILMN_2588139 [Chip: ]; ILMN_2732816 [Chip: ]	P01901	
NM_001001979	GO:0001891 [Name: phagocytic cup]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0042995 [Name: cell projection]; GO:0005886 [Name: plasma membrane]	ILMN_1214887 [Chip: ]; ILMN_2689931 [Chip: ]; ILMN_2840286 [Chip: ]	Q6DIB5	
NM_001001983	GO:0030660 [Name: Golgi-associated vesicle membrane]; GO:0016020 [Name: membrane]; GO:0005925 [Name: focal adhesion]; GO:0070062 [Name: extracellular exosome]	ILMN_1253596 [Chip: ]; ILMN_2998870 [Chip: ]	-	
NM_001001984	GO:0005634 [Name: nucleus]; GO:0000790 [Name: nuclear chromatin]; GO:0005730 [Name: nucleolus]	ILMN_1224664 [Chip: ]; ILMN_2720506 [Chip: ]; ILMN_1254766 [Chip: ]	P59997	
NM_001001986	GO:0005654 [Name: nucleoplasm]; GO:0005737 [Name: cytoplasm]	ILMN_2615027 [Chip: ]; ILMN_2910020 [Chip: ]; ILMN_2615026 [Chip: ]; ILMN_2460292 [Chip: ]	-	
NM_001001987	-	-	-	
NM_001002004	GO:0005575 [Name: cellular_component]; GO:0005576 [Name: extracellular region]	ILMN_3014965 [Chip: ]; ILMN_2775013 [Chip: ]; ILMN_3086201 [Chip: ]	Q5SYL3	
NM_001002239	GO:0005622 [Name: intracellular]; GO:0005840 [Name: ribosome]; GO:0022625 [Name: cytosolic large ribosomal subunit]; GO:0015934 [Name: large ribosomal subunit]; GO:0030529 [Name: ribonucleoprotein complex]; GO:0005634 [Name: nucleus]	ILMN_1213781 [Chip: ]; ILMN_2677935 [Chip: ]	-	
NM_001002267	GO:0005575 [Name: cellular_component]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_3160486 [Chip: ]; ILMN_2487322 [Chip: ]	-	
NM_001002268	GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0009986 [Name: cell surface]; GO:0005886 [Name: plasma membrane]	ILMN_2747633 [Chip: ]; ILMN_2664346 [Chip: ]; ILMN_2754155 [Chip: ]; ILMN_2747634 [Chip: ]	Q6F3F9	
NM_001002272	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_2510474 [Chip: ]; ILMN_3129213 [Chip: ]; ILMN_3052685 [Chip: ]; ILMN_1235530 [Chip: ]; ILMN_2484147 [Chip: ]	-	
NM_001002764	GO:0005737 [Name: cytoplasm]; GO:0000781 [Name: chromosome, telomeric region]; GO:0005634 [Name: nucleus]; GO:0035145 [Name: exon-exon junction complex]; GO:0005730 [Name: nucleolus]; GO:0005694 [Name: chromosome]; GO:0005829 [Name: cytosol]	ILMN_3160556 [Chip: ]; ILMN_2701249 [Chip: ]	P61406	
NM_001002894	GO:0005575 [Name: cellular_component]	ILMN_2809768 [Chip: ]; ILMN_1240686 [Chip: ]	Q6B966	
NM_001002895	GO:0005576 [Name: extracellular region]; GO:0005575 [Name: cellular_component]	ILMN_1237568 [Chip: ]	Q8R043	
NM_001002899	-	-	-	
NM_001003671	GO:0005575 [Name: cellular_component]	ILMN_1215440 [Chip: ]; ILMN_2677651 [Chip: ]; ILMN_1248803 [Chip: ]; ILMN_1250379 [Chip: ]; ILMN_2980110 [Chip: ]	-	
NM_001003672	GO:0005575 [Name: cellular_component]	ILMN_1215440 [Chip: ]; ILMN_1250379 [Chip: ]; ILMN_2999354 [Chip: ]; ILMN_2677651 [Chip: ]	-	
NM_001003717	GO:0005783 [Name: endoplasmic reticulum]; GO:0005634 [Name: nucleus]; GO:0032541 [Name: cortical endoplasmic reticulum]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0031965 [Name: nuclear membrane]	ILMN_2616135 [Chip: ]; ILMN_3132666 [Chip: ]; ILMN_1217075 [Chip: ]; ILMN_2632008 [Chip: ]	B9EJ86; G3X9N6	
NM_001003720	-	-	-	
NM_001003825	GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]; GO:0043234 [Name: protein complex]; GO:0016021 [Name: integral component of membrane]; GO:0043194 [Name: axon initial segment]; GO:0005886 [Name: plasma membrane]; GO:0033268 [Name: node of Ranvier]; GO:0008076 [Name: voltage-gated potassium channel complex]	ILMN_2622817 [Chip: ]; ILMN_3162662 [Chip: ]; ILMN_1241017 [Chip: ]; ILMN_3045269 [Chip: ]; ILMN_3162639 [Chip: ]; ILMN_3162680 [Chip: ]; ILMN_3140473 [Chip: ]; ILMN_1214987 [Chip: ]; ILMN_2586930 [Chip: ]	Q9Z351	
NM_001003893	GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]	ILMN_2487105 [Chip: ]; ILMN_1216142 [Chip: ]; ILMN_1260242 [Chip: ]; ILMN_2487104 [Chip: ]	Q91WP0	
NM_001003908	GO:0030132 [Name: clathrin coat of coated pit]; GO:0043195 [Name: terminal bouton]; GO:0070062 [Name: extracellular exosome]; GO:0005925 [Name: focal adhesion]; GO:0030118 [Name: clathrin coat]; GO:0030136 [Name: clathrin-coated vesicle]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005739 [Name: mitochondrion]; GO:0016020 [Name: membrane]; GO:0005819 [Name: spindle]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005905 [Name: coated pit]; GO:0030130 [Name: clathrin coat of trans-Golgi network vesicle]; GO:0031523 [Name: Myb complex]; GO:1903561 [Name: extracellular vesicle]; GO:0042383 [Name: sarcolemma]; GO:0071439 [Name: clathrin complex]; GO:0030117 [Name: membrane coat]; GO:0030315 [Name: T-tubule]; GO:0043209 [Name: myelin sheath]; GO:0043234 [Name: protein complex]	ILMN_2508001 [Chip: ]; ILMN_1251469 [Chip: ]; ILMN_1254755 [Chip: ]; ILMN_2456776 [Chip: ]; ILMN_1239637 [Chip: ]	Q68FD5	
NM_001003917	GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]; GO:0005776 [Name: autophagosome]; GO:0005794 [Name: Golgi apparatus]; GO:0000407 [Name: pre-autophagosomal structure]; GO:0000421 [Name: autophagosome membrane]; GO:0005770 [Name: late endosome]; GO:0055037 [Name: recycling endosome]; GO:0016020 [Name: membrane]; GO:0005768 [Name: endosome]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005802 [Name: trans-Golgi network]	ILMN_2699338 [Chip: ]; ILMN_2698801 [Chip: ]	Q68FE2	
NM_001003918	GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]; GO:0016604 [Name: nuclear body]; GO:0005634 [Name: nucleus]	ILMN_1221908 [Chip: ]; ILMN_1235439 [Chip: ]	E9PXY8; Q6A4J8; F8VPX1	
NM_001003930	GO:0070062 [Name: extracellular exosome]; GO:0016021 [Name: integral component of membrane]; GO:0005794 [Name: Golgi apparatus]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]	ILMN_1216437 [Chip: ]; ILMN_1248410 [Chip: ]; ILMN_3081944 [Chip: ]; ILMN_2702257 [Chip: ]; ILMN_2572492 [Chip: ]	Q9ES97	
NM_001003946	-	-	-	
NM_001004139	GO:0005575 [Name: cellular_component]	ILMN_2895753 [Chip: ]; ILMN_2617174 [Chip: ]	-	
NM_001004143	GO:0005634 [Name: nucleus]; GO:0070461 [Name: SAGA-type complex]; GO:0000124 [Name: SAGA complex]	ILMN_2990220 [Chip: ]; ILMN_2494618 [Chip: ]	Q5DU02	
NM_001004148	GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016323 [Name: basolateral plasma membrane]; GO:0005886 [Name: plasma membrane]	ILMN_3163527 [Chip: ]; ILMN_1241446 [Chip: ]	Q67BT3	
NM_001004156	GO:0030027 [Name: lamellipodium]; GO:0005886 [Name: plasma membrane]; GO:0030139 [Name: endocytic vesicle]; GO:0042995 [Name: cell projection]; GO:0030054 [Name: cell junction]; GO:0005911 [Name: cell-cell junction]; GO:0005737 [Name: cytoplasm]	ILMN_2812215 [Chip: ]; ILMN_1253661 [Chip: ]; ILMN_1242125 [Chip: ]	Q66T02	
NM_001004357	GO:0005769 [Name: early endosome]; GO:0044224 [Name: juxtaparanode region of axon]; GO:0042995 [Name: cell projection]; GO:0005794 [Name: Golgi apparatus]; GO:0016021 [Name: integral component of membrane]; GO:0008076 [Name: voltage-gated potassium channel complex]; GO:0030673 [Name: axolemma]; GO:0009986 [Name: cell surface]; GO:0016020 [Name: membrane]	ILMN_2681321 [Chip: ]; ILMN_2763156 [Chip: ]; ILMN_2592150 [Chip: ]; ILMN_1214016 [Chip: ]	Q9CPW0	
NM_001004362	GO:0005575 [Name: cellular_component]	ILMN_2766096 [Chip: ]; ILMN_1240963 [Chip: ]	-	
NM_001004363	GO:0005730 [Name: nucleolus]; GO:0005634 [Name: nucleus]; GO:0015630 [Name: microtubule cytoskeleton]; GO:0031588 [Name: AMP-activated protein kinase complex]; GO:0005737 [Name: cytoplasm]	ILMN_1227458 [Chip: ]; ILMN_2489351 [Chip: ]; ILMN_2928720 [Chip: ]	Q641K5	
NM_001004364	GO:0005737 [Name: cytoplasm]; GO:0005794 [Name: Golgi apparatus]; GO:0005886 [Name: plasma membrane]; GO:0005575 [Name: cellular_component]; GO:0016020 [Name: membrane]	ILMN_1214275 [Chip: ]; ILMN_2542476 [Chip: ]; ILMN_1234509 [Chip: ]; ILMN_3121578 [Chip: ]; ILMN_1213848 [Chip: ]; ILMN_3046047 [Chip: ]	Q7SIG6	
NM_001004365	GO:0042995 [Name: cell projection]; GO:0005856 [Name: cytoskeleton]; GO:0005885 [Name: Arp2/3 protein complex]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_2933346 [Chip: ]; ILMN_2620192 [Chip: ]	Q641P0	
NM_001004366	GO:0005576 [Name: extracellular region]; GO:0009986 [Name: cell surface]	ILMN_2418760 [Chip: ]; ILMN_1218256 [Chip: ]; ILMN_2780286 [Chip: ]	Q66PY1	
NM_001004367	GO:0031410 [Name: cytoplasmic vesicle]; GO:0005737 [Name: cytoplasm]; GO:0016023 [Name: cytoplasmic membrane-bounded vesicle]; GO:0005634 [Name: nucleus]	ILMN_1221271 [Chip: ]; ILMN_1224858 [Chip: ]; ILMN_3048058 [Chip: ]; ILMN_3123909 [Chip: ]	-	
NM_001004436	GO:0005694 [Name: chromosome]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0000795 [Name: synaptonemal complex]; GO:0005634 [Name: nucleus]; GO:0005654 [Name: nucleoplasm]; GO:0000785 [Name: chromatin]; GO:0005737 [Name: cytoplasm]; GO:0008278 [Name: cohesin complex]; GO:0015630 [Name: microtubule cytoskeleton]	ILMN_2743756 [Chip: ]; ILMN_2455406 [Chip: ]	Q65Z40	
NM_001004761	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_2524062 [Chip: ]; ILMN_1227221 [Chip: ]; ILMN_1236484 [Chip: ]; ILMN_2824971 [Chip: ]; ILMN_2524061 [Chip: ]; ILMN_3162645 [Chip: ]	Q8C419	
NM_001005228	GO:0043234 [Name: protein complex]; GO:0005634 [Name: nucleus]; GO:0000790 [Name: nuclear chromatin]; GO:0070062 [Name: extracellular exosome]	ILMN_2717588 [Chip: ]; ILMN_2522378 [Chip: ]; ILMN_1239277 [Chip: ]	Q61666	
NM_001005232	GO:0005634 [Name: nucleus]	ILMN_2721243 [Chip: ]; ILMN_2525361 [Chip: ]; ILMN_2963413 [Chip: ]	P52950	
NM_001005247	GO:0005737 [Name: cytoplasm]; GO:0031084 [Name: BLOC-2 complex]	ILMN_3113686 [Chip: ]; ILMN_2691085 [Chip: ]; ILMN_2740006 [Chip: ]	P59438	
NM_001005423	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0042470 [Name: melanosome]; GO:0043234 [Name: protein complex]	ILMN_1242040 [Chip: ]; ILMN_2526249 [Chip: ]; ILMN_2976159 [Chip: ]	Q6NVG5	
NM_001005507	GO:0005737 [Name: cytoplasm]; GO:0045111 [Name: intermediate filament cytoskeleton]; GO:0005634 [Name: nucleus]	ILMN_2682103 [Chip: ]; ILMN_1215748 [Chip: ]; ILMN_2953017 [Chip: ]	Q5RJH6	
NM_001005510	GO:0016020 [Name: membrane]; GO:0016235 [Name: aggresome]; GO:0030018 [Name: Z disc]; GO:0005737 [Name: cytoplasm]; GO:0016529 [Name: sarcoplasmic reticulum]; GO:0005886 [Name: plasma membrane]; GO:0005634 [Name: nucleus]; GO:0005925 [Name: focal adhesion]; GO:0031527 [Name: filopodium membrane]; GO:0005635 [Name: nuclear envelope]; GO:0031258 [Name: lamellipodium membrane]; GO:0031965 [Name: nuclear membrane]; GO:0034993 [Name: LINC complex]; GO:0070062 [Name: extracellular exosome]; GO:0005856 [Name: cytoskeleton]; GO:0031981 [Name: nuclear lumen]; GO:0045111 [Name: intermediate filament cytoskeleton]; GO:0016021 [Name: integral component of membrane]; GO:0005739 [Name: mitochondrion]; GO:0005623 [Name: cell]; GO:0005640 [Name: nuclear outer membrane]; GO:0030016 [Name: myofibril]	ILMN_1252594 [Chip: ]; ILMN_2680970 [Chip: ]; ILMN_2482651 [Chip: ]; ILMN_2680968 [Chip: ]; ILMN_2428311 [Chip: ]; ILMN_1215572 [Chip: ]; ILMN_1232181 [Chip: ]	Q6ZWQ0	
NM_001005523	GO:0005575 [Name: cellular_component]	ILMN_2456241 [Chip: ]; ILMN_2660995 [Chip: ]; ILMN_1227647 [Chip: ]; ILMN_3111334 [Chip: ]; ILMN_2422317 [Chip: ]; ILMN_1228289 [Chip: ]	A2RTL5	
NM_001005605	GO:0035098 [Name: ESC/E(Z) complex]; GO:0005634 [Name: nucleus]	ILMN_1237360 [Chip: ]; ILMN_2562670 [Chip: ]; ILMN_3015437 [Chip: ]; ILMN_1258253 [Chip: ]; ILMN_3040064 [Chip: ]; ILMN_1215960 [Chip: ]	Q9Z248	
NM_001005863	GO:0005794 [Name: Golgi apparatus]; GO:0005739 [Name: mitochondrion]; GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_1218343 [Chip: ]; ILMN_1259909 [Chip: ]; ILMN_2600463 [Chip: ]; ILMN_1253492 [Chip: ]; ILMN_1237575 [Chip: ]; ILMN_3162801 [Chip: ]; ILMN_2511203 [Chip: ]; ILMN_3064383 [Chip: ]; ILMN_3163345 [Chip: ]; ILMN_2560386 [Chip: ]; ILMN_3142257 [Chip: ]	Q5HZI1	
NM_007376	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_2688905 [Chip: ]	Q61838	
NM_007377	GO:0016021 [Name: integral component of membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0044295 [Name: axonal growth cone]; GO:0016020 [Name: membrane]; GO:0042995 [Name: cell projection]; GO:0055037 [Name: recycling endosome]; GO:0005783 [Name: endoplasmic reticulum]; GO:0005737 [Name: cytoplasm]	ILMN_1231439 [Chip: ]	Q80YE4	
NM_007378	GO:0016021 [Name: integral component of membrane]; GO:0001750 [Name: photoreceptor outer segment]; GO:0005887 [Name: integral component of plasma membrane]; GO:0016020 [Name: membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_1253125 [Chip: ]; ILMN_2728706 [Chip: ]; ILMN_2616828 [Chip: ]; ILMN_2829608 [Chip: ]; ILMN_2829604 [Chip: ]	O35600	
NM_007379	GO:0005765 [Name: lysosomal membrane]; GO:0016020 [Name: membrane]; GO:0005764 [Name: lysosome]; GO:0016023 [Name: cytoplasmic membrane-bounded vesicle]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005815 [Name: microtubule organizing center]; GO:0005768 [Name: endosome]; GO:0016021 [Name: integral component of membrane]	ILMN_1216987 [Chip: ]	-	
NM_007380	GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]; GO:0030175 [Name: filopodium]; GO:0070062 [Name: extracellular exosome]; GO:0005622 [Name: intracellular]; GO:0030054 [Name: cell junction]; GO:0031209 [Name: SCAR complex]; GO:0005737 [Name: cytoplasm]; GO:0030027 [Name: lamellipodium]; GO:0005856 [Name: cytoskeleton]; GO:0042995 [Name: cell projection]; GO:0045202 [Name: synapse]; GO:0005886 [Name: plasma membrane]; GO:0043005 [Name: neuron projection]; GO:0031252 [Name: cell leading edge]; GO:0045211 [Name: postsynaptic membrane]	ILMN_2512032 [Chip: ]; ILMN_1234139 [Chip: ]	Q8CBW3	
NM_007381	GO:0005759 [Name: mitochondrial matrix]; GO:0031966 [Name: mitochondrial membrane]; GO:0005739 [Name: mitochondrion]	ILMN_2735084 [Chip: ]; ILMN_2783519 [Chip: ]; ILMN_2689473 [Chip: ]	P51174	
NM_007382	GO:0070062 [Name: extracellular exosome]; GO:0005739 [Name: mitochondrion]; GO:0030424 [Name: axon]; GO:0031966 [Name: mitochondrial membrane]; GO:0005634 [Name: nucleus]; GO:0005759 [Name: mitochondrial matrix]	ILMN_2776209 [Chip: ]; ILMN_2810473 [Chip: ]; ILMN_1256019 [Chip: ]	P45952	
NM_007383	GO:0005634 [Name: nucleus]; GO:0005739 [Name: mitochondrion]; GO:0031966 [Name: mitochondrial membrane]; GO:0005759 [Name: mitochondrial matrix]	ILMN_1256725 [Chip: ]; ILMN_2806676 [Chip: ]	Q07417	
NM_007384	GO:0043197 [Name: dendritic spine]; GO:0016020 [Name: membrane]; GO:0045202 [Name: synapse]; GO:0005887 [Name: integral component of plasma membrane]; GO:0043025 [Name: neuronal cell body]; GO:0043005 [Name: neuron projection]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1230841 [Chip: ]; ILMN_1219242 [Chip: ]; ILMN_2639909 [Chip: ]; ILMN_1255375 [Chip: ]	Q925H0	
NM_007385	GO:0005576 [Name: extracellular region]; GO:0034361 [Name: very-low-density lipoprotein particle]; GO:0034364 [Name: high-density lipoprotein particle]	ILMN_1234764 [Chip: ]; ILMN_3009225 [Chip: ]	Q61268	
NM_007386	GO:0005739 [Name: mitochondrion]; GO:0005794 [Name: Golgi apparatus]; GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0070062 [Name: extracellular exosome]; GO:0005783 [Name: endoplasmic reticulum]	ILMN_1216382 [Chip: ]	P28271	
NM_007387	GO:0005764 [Name: lysosome]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0043005 [Name: neuron projection]	ILMN_2887075 [Chip: ]; ILMN_2513207 [Chip: ]; ILMN_2513205 [Chip: ]; ILMN_1234364 [Chip: ]	P24638	
NM_007388	GO:0005764 [Name: lysosome]	ILMN_2735661 [Chip: ]; ILMN_2735660 [Chip: ]	Q05117	
NM_007389	GO:0009986 [Name: cell surface]; GO:0030054 [Name: cell junction]; GO:0045211 [Name: postsynaptic membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0031594 [Name: neuromuscular junction]; GO:0045202 [Name: synapse]; GO:0005886 [Name: plasma membrane]; GO:0005892 [Name: acetylcholine-gated channel complex]	ILMN_2733656 [Chip: ]; ILMN_2597522 [Chip: ]; ILMN_1245221 [Chip: ]; ILMN_1239269 [Chip: ]	P04756	
NM_007390	GO:0009897 [Name: external side of plasma membrane]; GO:0030054 [Name: cell junction]; GO:0030426 [Name: growth cone]; GO:0043198 [Name: dendritic shaft]; GO:0005737 [Name: cytoplasm]; GO:0005892 [Name: acetylcholine-gated channel complex]; GO:0030424 [Name: axon]; GO:0030425 [Name: dendrite]; GO:0005886 [Name: plasma membrane]; GO:0030673 [Name: axolemma]; GO:0032279 [Name: asymmetric synapse]; GO:0042734 [Name: presynaptic membrane]; GO:0045121 [Name: membrane raft]; GO:0016021 [Name: integral component of membrane]; GO:0014069 [Name: postsynaptic density]; GO:0016324 [Name: apical plasma membrane]; GO:0045211 [Name: postsynaptic membrane]; GO:0045202 [Name: synapse]; GO:0043025 [Name: neuronal cell body]; GO:0043197 [Name: dendritic spine]; GO:0016020 [Name: membrane]	ILMN_1246234 [Chip: ]	P49582	
NM_007391	GO:0001669 [Name: acrosomal vesicle]	ILMN_2677129 [Chip: ]; ILMN_2834622 [Chip: ]	P50289	
NM_007392	GO:0005737 [Name: cytoplasm]; GO:0030485 [Name: smooth muscle contractile fiber]; GO:0005856 [Name: cytoskeleton]; GO:0070062 [Name: extracellular exosome]; GO:0015629 [Name: actin cytoskeleton]; GO:0005615 [Name: extracellular space]	ILMN_2710353 [Chip: ]; ILMN_1237242 [Chip: ]; ILMN_2744825 [Chip: ]; ILMN_2693895 [Chip: ]; ILMN_2923445 [Chip: ]; ILMN_2710354 [Chip: ]	P62737	
NM_007393	GO:0005829 [Name: cytosol]; GO:0005925 [Name: focal adhesion]; GO:0070062 [Name: extracellular exosome]; GO:0030863 [Name: cortical cytoskeleton]; GO:0035267 [Name: NuA4 histone acetyltransferase complex]; GO:0036464 [Name: cytoplasmic ribonucleoprotein granule]; GO:0043209 [Name: myelin sheath]; GO:0030529 [Name: ribonucleoprotein complex]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0014069 [Name: postsynaptic density]; GO:0070688 [Name: MLL5-L complex]; GO:0005615 [Name: extracellular space]; GO:0072562 [Name: blood microparticle]; GO:0005856 [Name: cytoskeleton]; GO:0043234 [Name: protein complex]; GO:0000790 [Name: nuclear chromatin]; GO:0030424 [Name: axon]	ILMN_1377923 [Chip: ]; ILMN_2588055 [Chip: ]; ILMN_2617433 [Chip: ]; ILMN_2846865 [Chip: ]; ILMN_2698799 [Chip: ]; ILMN_2743360 [Chip: ]	P60710	
NM_007394	GO:0016020 [Name: membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0045177 [Name: apical part of cell]; GO:0048179 [Name: activin receptor complex]; GO:0016021 [Name: integral component of membrane]	ILMN_2442705 [Chip: ]; ILMN_1223443 [Chip: ]; ILMN_2660103 [Chip: ]	P37172	
